,name,price
telefon_1,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Black","Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Black"
telefon_2,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal","Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal"
telefon_3,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Black","Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Black"
telefon_4,"Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight","Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight"
telefon_5,"Telefon mobil Motorola Edge 30 Ultra, Dual SIM, 256GB, 12GB RAM, 5G, Interstellar Black","Telefon mobil Motorola Edge 30 Ultra, Dual SIM, 256GB, 12GB RAM, 5G, Interstellar Black"
telefon_6,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Violet","Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Violet"
telefon_7,"Telefon mobil Samsung Galaxy S21 FE, Dual SIM, 6GB RAM, 128GB, 5G, Graphite","Telefon mobil Samsung Galaxy S21 FE, Dual SIM, 6GB RAM, 128GB, 5G, Graphite"
telefon_8,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black","Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black"
telefon_9,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey"
telefon_10,"Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight","Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight"
telefon_11,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey"
telefon_12,"Telefon mobil Apple iPhone 13, 128GB, 5G, Pink","Telefon mobil Apple iPhone 13, 128GB, 5G, Pink"
telefon_13,"Telefon mobil Apple iPhone 14, 128GB, 5G, Purple","Telefon mobil Apple iPhone 14, 128GB, 5G, Purple"
telefon_14,"Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue","Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue"
telefon_15,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Graphite","Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Graphite"
telefon_16,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal","Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal"
telefon_17,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green","Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green"
telefon_18,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Silver","Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Silver"
telefon_19,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Graphite","Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Graphite"
telefon_20,"Telefon mobil Motorola Edge 30, Dual SIM, 256GB, 8GB RAM, 5G, Meteor Grey","Telefon mobil Motorola Edge 30, Dual SIM, 256GB, 8GB RAM, 5G, Meteor Grey"
telefon_21,"Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Black","Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Black"
telefon_22,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Light Green","Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Light Green"
telefon_23,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Nebula Green","Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Nebula Green"
telefon_24,"Telefon mobil Apple iPhone 11, 64GB, Black","Telefon mobil Apple iPhone 11, 64GB, Black"
telefon_25,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black","Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black"
telefon_26,"Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Viva Magenta","Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Viva Magenta"
telefon_27,"Telefon mobil Apple iPhone 15, 128GB, 5G, Blue","Telefon mobil Apple iPhone 15, 128GB, 5G, Blue"
telefon_28,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Black","Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Black"
telefon_29,"Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Infinite Black","Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Infinite Black"
telefon_30,"Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight","Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight"
telefon_31,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Midnight Blue","Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Midnight Blue"
telefon_32,"Telefon mobil Apple iPhone 12, 64GB, 5G, Black","Telefon mobil Apple iPhone 12, 64GB, 5G, Black"
telefon_33,"Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Cosmic Black","Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Cosmic Black"
telefon_34,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black"
telefon_35,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green","Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green"
telefon_36,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Lime","Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Lime"
telefon_37,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Black","Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Black"
telefon_38,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black","Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black"
telefon_39,"Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal","Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal"
telefon_40,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Green","Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Green"
telefon_41,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Black","Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Black"
telefon_42,"Telefon mobil Xiaomi Redmi Note 12S, 8GB RAM, 256GB, Onyx Black","Telefon mobil Xiaomi Redmi Note 12S, 8GB RAM, 256GB, Onyx Black"
telefon_43,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Black","Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Black"
telefon_44,"Telefon mobil Nokia 150 (2023), Dual SIM, Black","Telefon mobil Nokia 150 (2023), Dual SIM, Black"
telefon_45,"Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black"
telefon_46,"Telefon mobil Xiaomi Redmi Note 12 Pro, 8GB RAM, 256GB, 5G, Midnight Black","Telefon mobil Xiaomi Redmi Note 12 Pro, 8GB RAM, 256GB, 5G, Midnight Black"
telefon_47,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Silver","Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Silver"
telefon_48,"Telefon mobil Apple iPhone 15 Pro, 128GB, 5G, Blue Titanium","Telefon mobil Apple iPhone 15 Pro, 128GB, 5G, Blue Titanium"
telefon_49,"Telefon mobil Apple iPhone 11, 128GB, Black","Telefon mobil Apple iPhone 11, 128GB, Black"
telefon_50,"Telefon mobil Apple iPhone 11, 64GB, White","Telefon mobil Apple iPhone 11, 64GB, White"
telefon_51,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green","Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green"
telefon_52,"Telefon mobil Apple iPhone 15, 128GB, 5G, Black","Telefon mobil Apple iPhone 15, 128GB, 5G, Black"
telefon_53,"Telefon mobil Motorola Moto E22, Dual SIM, 64GB, 4GB RAM, 4G, Crystal Blue","Telefon mobil Motorola Moto E22, Dual SIM, 64GB, 4GB RAM, 4G, Crystal Blue"
telefon_54,"Telefon mobil Xiaomi Redmi 12, 8Gb RAM, 256GB, Sky Blue","Telefon mobil Xiaomi Redmi 12, 8Gb RAM, 256GB, Sky Blue"
telefon_55,"Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Autora Green","Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Autora Green"
telefon_56,"Telefon mobil OPPO Reno7 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Cosmic Black","Telefon mobil OPPO Reno7 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Cosmic Black"
telefon_57,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper","Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper"
telefon_58,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Sunrise Beige","Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Sunrise Beige"
telefon_59,"Telefon mobil Apple iPhone 15, 128GB, 5G, Pink","Telefon mobil Apple iPhone 15, 128GB, 5G, Pink"
telefon_60,"Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue","Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue"
telefon_61,"Telefon mobil Samsung Galaxy S23 Plus, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","Telefon mobil Samsung Galaxy S23 Plus, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black"
telefon_62,"Telefon mobil Motorola Moto g32, Dual SIM, 256GB, 8GB RAM, Mineral Grey","Telefon mobil Motorola Moto g32, Dual SIM, 256GB, 8GB RAM, Mineral Grey"
telefon_63,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver","Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver"
telefon_64,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Lavander Blue","Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Lavander Blue"
telefon_65,"Telefon mobil Nokia 105 (2019), Dual SIM, Black","Telefon mobil Nokia 105 (2019), Dual SIM, Black"
telefon_66,"Telefon mobil Xiaomi 13T, 8GB RAM, 256GB, 5G, Black","Telefon mobil Xiaomi 13T, 8GB RAM, 256GB, 5G, Black"
telefon_67,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Astral Black","Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Astral Black"
telefon_68,"Telefon mobil realme C53, Dual SIM, 6GB RAM, 128GB, 4G, Mighty Black","Telefon mobil realme C53, Dual SIM, 6GB RAM, 128GB, 4G, Mighty Black"
telefon_69,"Telefon mobil Nokia 106, Dual SIM, Negru","Telefon mobil Nokia 106, Dual SIM, Negru"
telefon_70,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Light Blue","Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Light Blue"
